-0.1082	2.8094	1	1	-0.1082	2.8094	0	2.75	0	1
0.0637164	3.19585	0.408831	0.699094	0.0658542	3.19692	-0.022	3.0991	-0.1097	0.994
-0.124205	3.25407	-0.492836	0.254778	-0.134	3.2186	-0.0938	3.4924	-0.2334	0.9724
-0.217243	3.89611	-0.166441	1.25747	-0.206841	4.31454	-0.2143	3.8735	-0.3535	0.9354
-0.397691	4.26074	-0.51057	0.86602	-0.4111	4.2356	-0.3817	4.2365	-0.4679	0.8838
-0.693613	4.53097	-0.817804	1.14862	-0.657148	4.25576	-0.5932	4.5757	-0.575	0.8181
-1.07854	4.82326	-0.97164	0.676175	-1.0828	4.7925	-0.8456	4.8857	-0.673	0.7396
-1.44351	4.99677	-1.04472	0.884382	-1.36042	4.72027	-1.1348	5.1616	-0.7604	0.6494
-1.69095	5.60824	-0.61763	1.59482	-1.6799	5.6503	-1.4564	5.3991	-0.8358	0.549
-1.82334	6.01932	-0.247064	0.7817	-1.8223	6.03382	-1.8051	5.5945	-0.898	0.4399
-1.94625	5.94053	-0.255873	-0.310872	-1.9363	5.8707	-2.1756	5.7445	-0.9461	0.3239
-2.61504	5.70306	-1.83967	-0.435273	-2.6621	5.57913	-2.562	5.847	-0.9792	0.2028
-3.15442	5.88252	-1.39352	0.526493	-3.1471	5.9387	-2.9582	5.9002	-0.9969	0.0785
-3.1004	6.06282	0.0169467	0.817532	-2.86166	5.76135	-3.3579	5.9033	-0.9989	-0.0471
-3.76158	5.98171	-1.54293	-0.115286	-3.8134	5.9532	-3.7549	5.8563	-0.9851	-0.1719
-4.2115	5.80065	-1.16818	-0.376975	-4.11732	5.69109	-4.1429	5.76	-0.9558	-0.294
-4.50258	5.6546	-0.723923	-0.409967	-4.4819	5.6452	-4.5157	5.6157	-0.9114	-0.4115
-4.9487	5.46726	-1.21679	-0.390718	-4.95299	5.42983	-4.8675	5.4259	-0.8526	-0.5225
-5.18101	5.01632	-0.481628	-1.21569	-5.1316	4.9613	-5.1927	5.1935	-0.7804	-0.6252
-5.34621	4.76451	-0.520331	-0.491101	-5.29504	4.77876	-5.4863	4.9222	-0.6959	-0.7181
-5.4576	4.64169	-0.280505	-0.328725	-5.4474	4.6451	-5.7435	4.6162	-0.6004	-0.7997
-5.84657	4.2779	-0.827839	-1.11208	-6.01152	4.30069	-5.9603	4.2804	-0.4955	-0.8686
-6.17008	3.96057	-0.840695	-0.794284	-6.1761	3.9753	-6.1333	3.92	-0.3827	-0.9239
-6.43108	3.68024	-0.616932	-0.705596	-6.41884	3.68962	-6.2599	3.5408	-0.2639	-0.9646
-6.52103	3.0768	-0.112869	-1.50098	-6.4797	3.0382	-6.3378	3.1487	-0.1409	-0.99
-6.32467	2.71718	0.440427	-0.817229	-6.19899	2.72153	-6.3661	2.75	-0.0157	-0.9999
-6.28791	2.291	0.0629922	-1.03741	-6.3096	2.287	-6.3441	2.3509	0.1097	-0.994
-6.23135	1.94023	0.173298	-0.872658	-6.23672	1.95382	-6.2723	1.9576	0.2334	-0.9724
-6.1131	1.49592	0.321201	-1.10678	-6.1016	1.4862	-6.1518	1.5765	0.3535	-0.9355
-6.13124	1.39737	-0.0159507	-0.192577	-6.2152	1.47619	-5.9844	1.2135	0.4679	-0.8838
-5.99317	0.972118	0.408013	-1.05552	-5.9612	0.9393	-5.7729	0.8743	0.575	-0.8182
-5.81721	0.382419	0.405252	-1.50122	-5.78626	0.359166	-5.5205	0.5643	0.673	-0.7396
-5.36515	0.0857155	1.22733	-0.732056	-5.3118	0.1114	-5.2312	0.2884	0.7604	-0.6495
-2.9644	-28.0531	8.32783	-75.271	-4.91065	-0.119388	-4.9097	0.0509	0.8358	-0.549
-4.07266	-5.47339	-2.92078	66.718	-4.5559	-0.0559	-4.5609	-0.1444	0.898	-0.44
